site_id,location_name,city_name,latitude,longitude,district_code,district_name,state_code,state_name,ncap_city_flag
site_303,"Opp GPO Civil Lines, Nagpur - MPCB",Nagpur,21.152875,79.0517531,IN-505,Nagpur,IN-MH,Maharashtra,1
site_304,"Gangapur Road, Nashik - MPCB",Nashik,20.0073285,73.7762427,IN-516,Nashik,IN-MH,Maharashtra,1
site_305,"Pimpleshwar Mandir, Thane - MPCB",Thane,19.192056,72.9585188,IN-517,Thane,IN-MH,Maharashtra,1
site_306,"Manali, Chennai - CPCB",Chennai,13.164544,80.26285,IN-602,Thiruvallur,IN-TN,Tamil Nadu,1
site_307,"Sanjay Palace, Agra - UPPCB",Agra,27.19865833,78.00598056,IN-146,Agra,IN-UP,Uttar Pradesh,1
site_308,"Maninagar, Ahmedabad - GPCB",Ahmedabad,23.002657,72.591912,IN-474,Ahmadabad,IN-GJ,Gujarat,1
site_309,"Victoria, Kolkata - WBPCB",Kolkata,22.5448082,88.3403691,IN-342,Kolkata,IN-WB,West Bengal,1
site_5023,"Anand Vihar, Hapur - UPPCB",Hapur - NCR,28.725645,77.749675,IN-140,Ghaziabad,IN-UP,Uttar Pradesh,0
site_5024,"Alipur, Delhi - DPCC",Delhi,28.815329,77.15301,IN-90,North West Delhi,IN-DL,Delhi,1
site_5025,"NISE Gwal Pahari, Gurugram - IMD",Gurugram - NCR,28.422681,77.148944,IN-86,Gurgaon,IN-HR,Haryana,0
site_5039,"Sector-2 IMT, Manesar - HSPCB",Manesar - NCR,28.360699,76.93609,IN-86,Gurgaon,IN-HR,Haryana,0
site_5040,"Shrivastav Colony, Damoh - MPPCB",Damoh,23.81748678,79.446246,IN-428,Damoh,IN-MP,Madhya Pradesh,0
site_5041,"Murthal, Sonipat - HSPCB",Sonipat - NCR,29.0272,77.0621,IN-76,Sonipat,IN-HR,Haryana,0
site_5042,"Shasthri Nagar, Ratlam - IPCA Lab",Ratlam,23.331731,75.045981,IN-434,Ratlam,IN-MP,Madhya Pradesh,0
site_5043,"Sector-7, Kurukshetra - HSPCB",Kurukshetra,29.966942,76.875879,IN-72,Kurukshetra,IN-HR,Haryana,0
site_5044,"Municipal Corporation Office, Dharuhera -  HSPCB",Dharuhera - NCR,28.2068,76.7997,IN-85,Rewari,IN-HR,Haryana,0
site_5045,"Arya Nagar, Bahadurgarh - HSPCB",Bahadurgarh - NCR,28.6701,76.9254,IN-83,Jhajjar,IN-HR,Haryana,0
site_5046,"Gobind Pura, Yamuna Nagar - HSPCB",Yamuna Nagar,30.1480566,77.2893471,IN-71,Yamunanagar,IN-HR,Haryana,0
site_5047,"H.B. Colony, Bhiwani - HSPCB",Bhiwani,28.806223,76.141105,IN-81,Bhiwani,IN-HR,Haryana,0
site_5048,"Sector-18, Panipat - HSPCB",Panipat - NCR,29.435587,76.975531,IN-75,Panipat,IN-HR,Haryana,0
site_5049,"Sector-12, Karnal - HSPCB",Karnal - NCR,29.6953,77.0027,IN-74,Karnal,IN-HR,Haryana,0
site_5050,"Shyam Nagar, Palwal - HSPCB",Palwal - NCR,28.1485564,77.3320667,IN-89,Palwal,IN-HR,Haryana,0
site_5051,"F-Block, Sirsa - HSPCB",Sirsa,29.5364,75.0158,IN-79,Sirsa,IN-HR,Haryana,0
site_5052,"Patti Mehar, Ambala - HSPCB",Ambala,30.379589,76.778328,IN-70,Ambala,IN-HR,Haryana,0
site_5053,"Shastri Nagar, Narnaul - HSPCB",Narnaul - NCR,28.060249,76.113115,IN-84,Mahendragarh,IN-HR,Haryana,0
site_5054,"Huda Sector, Fatehabad - HSPCB",Fatehabad,29.503664,75.467934,IN-78,Fatehabad,IN-HR,Haryana,0
site_5055,"General Hospital, Mandikhera - HSPCB",Mandikhera,27.9002,76.9938,IN-87,Mewat,IN-HR,Haryana,0
site_5056,"Police Lines, Jind - HSPCB",Jind - NCR,29.307814,76.337619,IN-77,Jind,IN-HR,Haryana,0
site_5057,"Urban Estate-II, Hisar - HSPCB",Hisar,29.14056,75.744941,IN-80,Hisar,IN-HR,Haryana,0
site_5060,"Nathu Colony, Ballabgarh - HSPCB",Faridabad - NCR,28.3419248,77.319699,IN-88,Faridabad,IN-HR,Haryana,1
site_5065,"GIDC, Ankleshwar - GPCB",Ankleshwar,21.613267,73.010555,IN-488,Bharuch,IN-GJ,Gujarat,0
site_5066,"Sector-10, Gandhinagar - GPCB",Gandhinagar,23.221714,72.654328,IN-473,Gandhinagar,IN-GJ,Gujarat,0
site_5067,"Phase-4 GIDC, Vatva - GPCB",Vatva,22.969611,72.6435,IN-474,Ahmadabad,IN-GJ,Gujarat,0
site_5068,"Sahilara, Maihar - KJS Cements",Maihar,24.2613009,80.7231783,IN-429,Satna,IN-MP,Madhya Pradesh,0
site_5071,"Phase-1 GIDC, Vapi - GPCB",Vapi,20.362421,72.918013,IN-491,Valsad,IN-GJ,Gujarat,0
site_5072,"Rishi Nagar, Kaithal - HSPCB",Kaithal,29.8006,76.4155,IN-73,Kaithal,IN-HR,Haryana,0
site_5073,"Railway Colony, Guwahati - APCB",Guwahati,26.181742,91.78063,IN-322,Kamrup Metropolitan,IN-AS,Assam,1
site_5081,"Sanjay Nagar, Ghaziabad - UPPCB",Ghaziabad - NCR,28.685382,77.453839,IN-140,Ghaziabad,IN-UP,Uttar Pradesh,1
site_5082,"Indirapuram, Ghaziabad - UPPCB",Ghaziabad - NCR,28.646233,77.358075,IN-141,Gautam Buddha Nagar,IN-UP,Uttar Pradesh,1
site_5083,"Loni, Ghaziabad - UPPCB",Ghaziabad - NCR,28.757294,77.278792,IN-140,Ghaziabad,IN-UP,Uttar Pradesh,1
site_5092,"Manali Village, Chennai - TNPCB",Chennai,13.1662,80.2584,IN-602,Thiruvallur,IN-TN,Tamil Nadu,1
site_5094,"SIDCO Kurichi, Coimbatore - TNPCB",Coimbatore,10.942451,76.978996,IN-632,Coimbatore,IN-TN,Tamil Nadu,0
site_5101,"Belur Math, Howrah - WBPCB",Howrah,22.629801,88.352017,IN-341,Haora,IN-WB,West Bengal,1
site_5102,"Vasai West, Mumbai - MPCB",Mumbai,19.3832,72.8204,IN-517,Thane,IN-MH,Maharashtra,1
site_5103,"Nerul, Navi Mumbai - MPCB",Navi Mumbai,19.008751,73.01662,IN-517,Thane,IN-MH,Maharashtra,1
site_5104,"Kurla, Mumbai - MPCB",Mumbai,19.0863,72.8888,IN-518,Mumbai Suburban,IN-MH,Maharashtra,1
site_5105,"Udyogamandal, Eloor - Kerala PCB",Kochi,10.073232,76.302765,IN-595,Ernakulam,IN-KL,Kerala,0
site_5106,"Vile Parle West, Mumbai - MPCB",Mumbai,19.10861,72.83622,IN-518,Mumbai Suburban,IN-MH,Maharashtra,1
site_5107,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",Mumbai,19.10078,72.87462,IN-518,Mumbai Suburban,IN-MH,Maharashtra,1
site_5109,"Jai Bhim Nagar, Meerut - UPPCB",Meerut - NCR,28.9535882,77.7622941,IN-138,Meerut,IN-UP,Uttar Pradesh,1
site_5110,"Fort William, Kolkata - WBPCB",Kolkata,22.55664,88.342674,IN-342,Kolkata,IN-WB,West Bengal,1
site_5111,"Jadavpur, Kolkata - WBPCB",Kolkata,22.49929,88.36917,IN-343,South 24 Parganas,IN-WB,West Bengal,1
site_5112,"Powai, Mumbai - MPCB",Mumbai,19.1375,72.915056,IN-518,Mumbai Suburban,IN-MH,Maharashtra,1
site_5113,"Borivali East, Mumbai - MPCB",Mumbai,19.227474,72.864394,IN-518,Mumbai Suburban,IN-MH,Maharashtra,1
